country_iso3,country_name,cluster,construct_id,construct_label,n,mean,sd,se,ci_lower,ci_upper,scale_min,scale_max
SRB,Serbia,Southern,aband,Betrayal / abandonment,606,5.396039603960396,1.3586139466062002,0.05560255945113105,5.288228822882289,5.497973964063073,1,7
TUR,Turkey,Southern,aband,Betrayal / abandonment,599,5.097384529771842,1.5589418608006844,0.06276461535425931,4.968660730847709,5.217951214987942,1,7
BGR,Bulgaria,Central-East,aband,Betrayal / abandonment,592,4.9600225225225225,1.4439769817550965,0.061122310999407625,4.83974756006006,5.080325638138138,1,7
ITA,Italy,Southern,aband,Betrayal / abandonment,606,4.544554455445545,1.342029031867068,0.054464055420769215,4.4372937293729375,4.650701320132013,1,7
HUN,Hungary,Central-East,aband,Betrayal / abandonment,599,4.455203116304952,1.3191083123122354,0.05475846077824378,4.345766091634205,4.564083657948432,1,7
POL,Poland,Central-East,aband,Betrayal / abandonment,600,4.408333333333333,1.4938583846226416,0.060933013450146754,4.286300925925926,4.52925462962963,1,7
FRA,France,Western,aband,Betrayal / abandonment,596,4.359060402684563,1.3374201837091562,0.05536445433030711,4.252796420581656,4.471285421327368,1,7
BEL,Belgium,Western,aband,Betrayal / abandonment,595,4.253221288515406,1.4117400923806482,0.05719405420637834,4.134467787114845,4.357791783380018,1,7
AUT,Austria,Western,aband,Betrayal / abandonment,599,4.244296048970506,1.570424234052345,0.06412693022930704,4.121883695047301,4.3674411055462805,1,7
DEU,Germany,Western,aband,Betrayal / abandonment,598,4.191192865105909,1.4852248645099377,0.058579795730373044,4.079710144927536,4.304714790040877,1,7
LVA,Latvia,Baltic,aband,Betrayal / abandonment,596,4.1202460850111855,1.5222864317937965,0.06315136109479529,3.9966442953020134,4.244761372110365,1,7
LTU,Lithuania,Baltic,aband,Betrayal / abandonment,593,4.02079820123665,1.60205218661734,0.06578766748447137,3.901836237586659,4.1596402473299605,1,7
EST,Estonia,Baltic,aband,Betrayal / abandonment,604,3.5369757174392937,1.6885554288500575,0.06763724507530909,3.404902501839588,3.669048933038999,1,7
BGR,Bulgaria,Central-East,admir,Foreign-power admiration (composite),592,4.032094594594595,1.7065180235433737,0.07100057164596704,3.8959576764264265,4.1699418168168165,1,7
SRB,Serbia,Southern,admir,Foreign-power admiration (composite),606,3.8784378437843787,1.7097142797416311,0.06836305937545645,3.746793637697103,4.01557572423909,1,7
TUR,Turkey,Southern,admir,Foreign-power admiration (composite),599,3.4621591541457986,1.7679262073374118,0.07215434576507676,3.320446113893526,3.6058129289556673,1,7
HUN,Hungary,Central-East,admir,Foreign-power admiration (composite),599,3.051474680022259,1.5331688739474238,0.0597468255465352,2.931851697273233,3.1719532554257097,1,7
ITA,Italy,Southern,admir,Foreign-power admiration (composite),606,2.856710671067107,1.6268110280881047,0.06426387404529864,2.7396566740007335,2.982659515951595,1,7
DEU,Germany,Western,admir,Foreign-power admiration (composite),598,2.799609810479376,1.6331429816838205,0.06583765750295499,2.6723429951690822,2.929480211817168,1,7
AUT,Austria,Western,admir,Foreign-power admiration (composite),599,2.79827490261547,1.6862216220631188,0.07008692076606542,2.6633416805787427,2.9386709330365424,1,7
FRA,France,Western,admir,Foreign-power admiration (composite),596,2.7846756152125276,1.6433836070270054,0.06499288016806297,2.6573499254287847,2.9142314504101416,1,7
BEL,Belgium,Western,admir,Foreign-power admiration (composite),595,2.7585434173669467,1.704168248699552,0.06660360709169616,2.615508870214753,2.8817927170868347,1,7
POL,Poland,Central-East,admir,Foreign-power admiration (composite),600,2.6805555555555554,1.5261863349110107,0.0625721949496371,2.5605555555555553,2.805,1,7
LVA,Latvia,Baltic,admir,Foreign-power admiration (composite),596,2.2894295302013425,1.2621703074605222,0.05098130866795571,2.1891545488441464,2.385987602535421,1,7
LTU,Lithuania,Baltic,admir,Foreign-power admiration (composite),593,1.8875772906127037,1.3108712097389492,0.05431601232698549,1.784059396664793,1.998779745175192,1,7
EST,Estonia,Baltic,admir,Foreign-power admiration (composite),604,1.875,1.1681316317611907,0.04716561154501167,1.783671357615894,1.9674392935982339,1,7
BGR,Bulgaria,Central-East,fear,Fear / pragmatic accommodation,592,5.214527027027026,1.782484372256706,0.0761424735803226,5.067032657657657,5.364287725225225,1,7
SRB,Serbia,Southern,fear,Fear / pragmatic accommodation,606,5.04125412541254,1.8506057292318066,0.07813404541587242,4.881188118811881,5.186468646864687,1,7
TUR,Turkey,Southern,fear,Fear / pragmatic accommodation,599,4.994991652754591,1.7450287608473347,0.07011663853976782,4.850890372843629,5.127977184195881,1,7
ITA,Italy,Southern,fear,Fear / pragmatic accommodation,606,4.9438943894389435,1.6109606031374688,0.06642093665562082,4.814095159515952,5.072607260726072,1,7
POL,Poland,Central-East,fear,Fear / pragmatic accommodation,600,4.8966666666666665,1.8013134390582295,0.07152407132490429,4.749472222222222,5.039430555555556,1,7
AUT,Austria,Western,fear,Fear / pragmatic accommodation,599,4.888146911519198,1.7906790639736363,0.07372751957441524,4.741805787423484,5.026711185308848,1,7
FRA,France,Western,fear,Fear / pragmatic accommodation,596,4.796979865771813,1.6954881123410224,0.06877782646887044,4.663324944071588,4.934563758389263,1,7
BEL,Belgium,Western,fear,Fear / pragmatic accommodation,595,4.685714285714285,1.743785778353766,0.07313431100884965,4.540070028011204,4.826890756302521,1,7
LVA,Latvia,Baltic,fear,Fear / pragmatic accommodation,596,4.600671140939598,2.0632680822096088,0.0829773954575721,4.442953020134229,4.766778523489933,1,7
DEU,Germany,Western,fear,Fear / pragmatic accommodation,598,4.565217391304349,1.8407978942119692,0.07678568674453104,4.41304347826087,4.7134754738015605,1,7
HUN,Hungary,Central-East,fear,Fear / pragmatic accommodation,599,4.549248747913188,1.7684985799594692,0.07398722344351642,4.407345575959933,4.697259321090708,1,7
LTU,Lithuania,Baltic,fear,Fear / pragmatic accommodation,593,4.016863406408094,2.24354606124898,0.0929798330837269,3.826883080382237,4.196725688589096,1,7
EST,Estonia,Baltic,fear,Fear / pragmatic accommodation,604,3.5347682119205306,2.1695426253552386,0.08924351576848981,3.369770971302429,3.7030767108167764,1,7
SRB,Serbia,Southern,gen,General disinformation acceptance,606,4.73003300330033,1.0021410132707027,0.03964229424323526,4.644119911991199,4.804056655665566,1,7
BGR,Bulgaria,Central-East,gen,General disinformation acceptance,592,4.7,1.2535701975839764,0.05446095145711952,4.592584459459459,4.806748310810811,1,7
TUR,Turkey,Southern,gen,General disinformation acceptance,599,4.3245409015025045,1.2076880596458779,0.04878034227785992,4.226174179187535,4.421580411797439,1,7
ITA,Italy,Southern,gen,General disinformation acceptance,606,4.087788778877888,1.114331610038088,0.045211305999179704,3.9997909790979103,4.17986798679868,1,7
AUT,Austria,Western,gen,General disinformation acceptance,599,4.040734557595993,1.0891115682141195,0.045570576342094896,3.952701725097384,4.126983861992209,1,7
FRA,France,Western,gen,General disinformation acceptance,596,4.011744966442953,1.1205324253948108,0.046754415170968636,3.921370246085011,4.100548098434005,1,7
DEU,Germany,Western,gen,General disinformation acceptance,598,4.004682274247491,1.1277428054435361,0.04479352459079341,3.9131577480490525,4.093751393534002,1,7
BEL,Belgium,Western,gen,General disinformation acceptance,595,3.951260504201681,1.1536405226899495,0.04543825077979742,3.859610644257703,4.040327731092437,1,7
POL,Poland,Central-East,gen,General disinformation acceptance,600,3.941,1.065870128996248,0.0410381837056075,3.864227777777778,4.023658333333334,1,7
HUN,Hungary,Central-East,gen,General disinformation acceptance,599,3.9315525876460766,0.930164922347126,0.036897595563065856,3.8565414579855313,4.001555370061213,1,7
LTU,Lithuania,Baltic,gen,General disinformation acceptance,593,3.9163575042158514,1.0006174885845875,0.04148069063866183,3.839460370994941,3.9989797639123097,1,7
LVA,Latvia,Baltic,gen,General disinformation acceptance,596,3.709395973154362,1.0489109058065371,0.04309471590974732,3.624496644295302,3.7949580536912753,1,7
EST,Estonia,Baltic,gen,General disinformation acceptance,604,3.2867549668874174,1.1337239886671873,0.04502392695971884,3.1958167770419426,3.373614790286976,1,7
SRB,Serbia,Southern,overall,Overall DisInforMeter composite,606,4.84742287173403,0.9632857870756599,0.03990391905225714,4.766656061067931,4.925577760611882,1,7
BGR,Bulgaria,Central-East,overall,Overall DisInforMeter composite,592,4.801406553110066,1.2040544505532662,0.05247668290667179,4.702298450654708,4.902376993741767,1,7
TUR,Turkey,Southern,overall,Overall DisInforMeter composite,599,4.542121479062646,1.0654270117244324,0.043481547922097664,4.454903525111185,4.627826181834656,1,7
ITA,Italy,Southern,overall,Overall DisInforMeter composite,606,4.111533073013511,0.9733234300901428,0.03960063798852331,4.035123588077278,4.188040297661945,1,7
POL,Poland,Central-East,overall,Overall DisInforMeter composite,600,4.052702357635203,1.0415526425954154,0.041996939534972764,3.9722328603473125,4.1361503961261485,1,7
HUN,Hungary,Central-East,overall,Overall DisInforMeter composite,599,4.032380963351656,0.8748000842165613,0.035509277621255865,3.9682529687464148,4.102663608992048,1,7
AUT,Austria,Western,overall,Overall DisInforMeter composite,599,4.011937367508862,1.1041701772832353,0.045334537739393825,3.923084255495871,4.099995202637239,1,7
FRA,France,Western,overall,Overall DisInforMeter composite,596,4.0045153885273415,1.0306473050265728,0.0423354378397589,3.923848169587486,4.083303035494427,1,7
BEL,Belgium,Western,overall,Overall DisInforMeter composite,595,3.9431587352097655,1.102820671139919,0.04426232761768056,3.853379347225988,4.029046186913741,1,7
DEU,Germany,Western,overall,Overall DisInforMeter composite,598,3.9406390381248864,1.1403313218485225,0.04539833874724571,3.850319106470482,4.025816233034582,1,7
LVA,Latvia,Baltic,overall,Overall DisInforMeter composite,596,3.790729314386977,1.0665867022799482,0.04345234629585672,3.7039161291949925,3.877039142692163,1,7
LTU,Lithuania,Baltic,overall,Overall DisInforMeter composite,593,3.656686602191861,1.1162711622050399,0.0463933967147473,3.5725295423719845,3.7474790712558605,1,7
EST,Estonia,Baltic,overall,Overall DisInforMeter composite,604,3.221148784287986,1.1877989569408827,0.0485887331499443,3.126160026540399,3.3139261457754072,1,7
BGR,Bulgaria,Central-East,supf,Foreign-power admiration (Russia),592,4.003941441441441,2.021454638372358,0.08421929936490681,3.8414085960960964,4.171541854354355,1,7
SRB,Serbia,Southern,supf,Foreign-power admiration (Russia),606,3.9394939493949397,1.893977357355294,0.07684425812120306,3.7966813348001462,4.083608360836084,1,7
TUR,Turkey,Southern,supf,Foreign-power admiration (Russia),599,3.3082915971062885,1.879282270350942,0.07623395830555017,3.1580411797440178,3.462423483583751,1,7
HUN,Hungary,Central-East,supf,Foreign-power admiration (Russia),599,2.907623817473567,1.680986236431478,0.06724255245205706,2.7751808569838623,3.0426451493229454,1,7
ITA,Italy,Southern,supf,Foreign-power admiration (Russia),606,2.692519251925192,1.8213787442297054,0.07301338558442402,2.5535432709937664,2.83993399339934,1,7
DEU,Germany,Western,supf,Foreign-power admiration (Russia),598,2.677257525083612,1.7690178680789022,0.07059354359437454,2.541072092159049,2.809174098848012,1,7
AUT,Austria,Western,supf,Foreign-power admiration (Russia),599,2.666666666666667,1.8640130844209806,0.07774040969738352,2.5134576145427565,2.8144871081432012,1,7
FRA,France,Western,supf,Foreign-power admiration (Russia),596,2.664429530201343,1.7834163521272857,0.07132017271350119,2.529642058165548,2.80405947054437,1,7
BEL,Belgium,Western,supf,Foreign-power admiration (Russia),595,2.5949579831932774,1.827097028445795,0.07109157239304115,2.4509803921568625,2.7278944911297853,1,7
POL,Poland,Central-East,supf,Foreign-power admiration (Russia),600,2.3305555555555553,1.7172058212574355,0.0701329067167675,2.204634259259259,2.4699861111111105,1,7
LVA,Latvia,Baltic,supf,Foreign-power admiration (Russia),596,1.8909395973154361,1.3559151914590422,0.05601586500630147,1.7865445563012676,2.002046047725578,1,7
LTU,Lithuania,Baltic,supf,Foreign-power admiration (Russia),593,1.6155143338954467,1.3040877212638093,0.05422925144546783,1.5132237211916808,1.7253044781712572,1,7
EST,Estonia,Baltic,supf,Foreign-power admiration (Russia),604,1.5927152317880793,1.2083695233465666,0.04984195514849844,1.4961506622516554,1.691864422369389,1,7
BGR,Bulgaria,Central-East,supfch,Foreign-power admiration (China),592,4.060247747747748,1.7732772527895753,0.07268152144562523,3.9228744369369366,4.204762575075075,1,7
SRB,Serbia,Southern,supfch,Foreign-power admiration (China),606,3.8173817381738173,1.8066356726942556,0.07165641150901352,3.6813439677301067,3.9580078841217454,1,7
TUR,Turkey,Southern,supfch,Foreign-power admiration (China),599,3.616026711185309,1.9713280779619786,0.08091443109872254,3.4652198107957703,3.773511407902059,1,7
HUN,Hungary,Central-East,supfch,Foreign-power admiration (China),599,3.1953255425709517,1.627712109662567,0.06347216357399481,3.069003895381191,3.3153357447597847,1,7
POL,Poland,Central-East,supfch,Foreign-power admiration (China),600,3.030555555555556,1.6847630987230848,0.0688752339155447,2.8985231481481484,3.167574074074074,1,7
ITA,Italy,Southern,supfch,Foreign-power admiration (China),606,3.0209020902090207,1.7075222309760825,0.06675929458891977,2.890176934360103,3.15272735606894,1,7
AUT,Austria,Western,supfch,Foreign-power admiration (China),599,2.929883138564274,1.7519695253722345,0.0723206187432142,2.7926219625301427,3.071025783713596,1,7
BEL,Belgium,Western,supfch,Foreign-power admiration (China),595,2.922128851540616,1.7987258933301682,0.07184863340243655,2.771442577030812,3.0498459383753502,1,7
DEU,Germany,Western,supfch,Foreign-power admiration (China),598,2.9219620958751396,1.7339959262854063,0.07065684482481568,2.783913972500929,3.0661417688591603,1,7
FRA,France,Western,supfch,Foreign-power admiration (China),596,2.904921700223714,1.7261383781941984,0.0681168584100199,2.766792505592842,3.0406366517524237,1,7
LVA,Latvia,Baltic,supfch,Foreign-power admiration (China),596,2.6879194630872485,1.4816384539293308,0.05967979413871811,2.567878448918717,2.8062966070096946,1,7
LTU,Lithuania,Baltic,supfch,Foreign-power admiration (China),593,2.1596402473299605,1.519887340567404,0.06217446393816029,2.0468474798575977,2.289488476672288,1,7
EST,Estonia,Baltic,supfch,Foreign-power admiration (China),604,2.1572847682119205,1.3551641173662345,0.054358598174367063,2.05794701986755,2.265815857247976,1,7
SRB,Serbia,Southern,threat,Ideological threat,606,5.20874587458746,1.607494661181415,0.06507494835410192,5.073473597359735,5.332769526952696,1,7
BGR,Bulgaria,Central-East,threat,Ideological threat,592,5.1714527027027035,1.5994116677823595,0.06697827176804409,5.028716216216215,5.2961641328828835,1,7
TUR,Turkey,Southern,threat,Ideological threat,599,4.924040066777964,1.4637731419523299,0.06082980989154674,4.80550918196995,5.041736227045075,1,7
POL,Poland,Central-East,threat,Ideological threat,600,4.444166666666667,1.6296909092386178,0.06822149143357396,4.315569444444444,4.575,1,7
LVA,Latvia,Baltic,threat,Ideological threat,596,4.322147651006711,1.660539373244522,0.0676384725049252,4.189045022371365,4.4577670581655475,1,7
LTU,Lithuania,Baltic,threat,Ideological threat,593,4.314502529510961,1.7572702640235187,0.07278660348812505,4.18156970207982,4.462591343451377,1,7
HUN,Hungary,Central-East,threat,Ideological threat,599,4.237061769616027,1.6119522370631152,0.06759451281999149,4.109084585420145,4.372001947690596,1,7
ITA,Italy,Southern,threat,Ideological threat,606,4.190594059405941,1.4285960201046575,0.0578460407737915,4.083072057205721,4.309124037403739,1,7
DEU,Germany,Western,threat,Ideological threat,598,4.157190635451504,1.596018958647129,0.06660031563314546,4.028713768115942,4.2842809364548495,1,7
AUT,Austria,Western,threat,Ideological threat,599,4.151919866444073,1.6487936667275211,0.06598635421786404,4.013925987757374,4.2785127991096275,1,7
FRA,France,Western,threat,Ideological threat,596,4.123322147651007,1.3999914898586783,0.05682344965531586,4.011479306487695,4.2329348434004475,1,7
BEL,Belgium,Western,threat,Ideological threat,595,4.116806722689075,1.4981087587866848,0.06128015068217094,3.9946918767507,4.232485994397758,1,7
EST,Estonia,Baltic,threat,Ideological threat,604,3.8344370860927155,1.823898703859151,0.07475550782151776,3.7003518211920534,3.9790217991169974,1,7
